# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Pokepedia
# Propiedad: Pokepedia
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260206
# Fecha de finalización: 20260305
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/es/pokemon/kadabra,1,1,1,11,2,0,0
/es/pokemon/kommo-o,1,1,1,2,3,0,0
/es/pokemon/krookodile,1,1,1,2,2,0,0
/es/pokemon/latios,1,1,1,6,2,0,0
/es/pokemon/lechonk,1,1,1,10,2,0,0
/es/pokemon/lokix,1,1,1,1,3,0,0
/es/pokemon/magikarp,1,1,1,3,2,0,0
/es/pokemon/magnezone,1,1,1,7,2,0,0
/es/pokemon/meditite,1,1,1,12,2,0,0
/es/pokemon/melmetal,1,1,1,52,2,0,0
/es/pokemon/musharna,1,1,1,4,2,0,0
/es/pokemon/noibat,1,1,1,4,2,0,0
/es/pokemon/nuzleaf,1,1,1,2,2,0,0
/es/pokemon/onix,1,1,1,3,2,0,0
/es/pokemon/pikachu,1,1,1,5,2,0,0
/es/pokemon/poltchageist,1,1,1,2,2,0,0
/es/pokemon/porygon-z,1,1,1,5,2,0,0
/es/pokemon/psyduck,1,1,1,85,2,0,0
/es/pokemon/rattata,1,1,1,6,2,0,0
/es/pokemon/regice,1,1,1,0,1,0,0
/es/pokemon/revavroom,1,1,1,3,2,0,0
/es/pokemon/sandslash,1,1,1,0,1,0,0
/es/pokemon/scream-tail,1,1,1,2,3,0,0
/es/pokemon/silicobra,1,1,1,3,2,0,0
/es/pokemon/spheal,1,1,1,7,2,0,0
/es/pokemon/spinda,1,1,1,19,2,0,0
/es/pokemon/squirtle,1,1,1,15,3,0,0
/es/pokemon/stonjourner,1,1,1,2,2,0,0
/es/pokemon/sunflora,1,1,1,6,2,0,0
/es/pokemon/tatsugiri-curly,1,1,1,3,2,0,0
/es/pokemon/tentacruel,1,1,1,6,2,0,0
/es/pokemon/tranquill,1,1,1,9,2,0,0
/es/pokemon/trevenant,1,1,1,9,2,0,0
/es/pokemon/tyrantrum,1,1,1,2,2,0,0
/es/pokemon/volbeat,1,1,1,4,2,0,0
/es/pokemon/walrein,1,1,1,7,2,0,0
/es/pokemon/wattrel,1,1,1,2,2,0,0
/es/pokemon/weavile,1,1,1,6,2,0,0
/es/pokemon/weedle,1,1,1,0,1,0,0
/es/pokemon/zweilous,1,1,1,1,2,0,0
